자치구,야간_유동인구,버스노선_총합,노후주택_비율,고시원_수,발생_10만명당,예측_위험도_점수,CCTV_설치_우선순위_점수,조도_지수,CCTV_대수,자연감시_시너지_지수,사각지대_취약_지수,군중밀집_위험_지수
하남시,235668.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2356681999999999.5,69871300491.23999
용인시,251253.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512535799999999.5,61874781462.81641
용인시,251253.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512535799999999.5,61874781462.81641
용인시,251253.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512535799999999.5,61874781462.81641
파주시,79346.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793465499999999.9,176949324996.9025
이천시,16163.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161638799999999.97,234097391016.6544
안성시,8931.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89310199999999.98,241148743118.2404
김포시,158815.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588155499999999.5,116406828921.8025
화성시,84200.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842002899999999.8,172889398836.0841
광주시,82361.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823614099999999.9,174421991857.18808
양주시,47959.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479592899999999.94,204340803497.3041
포천시,14285.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142855199999999.97,235918556081.67038
여주시,6781.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67814499999999.984,243264538064.10248
연천군,2249.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22492099999999.996,247755848945.62408
가평군,7834.5199999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78345199999999.98,242226859703.63037
양평군,23448.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234480899999999.97,227101722924.64807
강원도,73255.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732551799999999.8,182111141396.8324
충청북도,41018.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410185899999999.9,210663934725.58813
충청남도,65438.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654384599999999.9,188843732047.17157
전라북도,30987.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309870699999999.94,219973128507.1849
전라남도,20010.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200109799999999.97,230389459320.56042
경상북도,28290.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282902699999999.94,222510069376.67288
경상남도,21696.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216967899999999.97,228773960696.3041
제주특별자치도,32029.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320293599999999.94,218996519902.0096
